major,major_summary
전기과,"우리의 일상생활을 밝혀주는 전기란 무엇일까요? 전기는 물질 안에 있는 전자 또는 공간에 있는 자유 전자나 이온들의 움직임 때문에 생기는 에너지의 한 형태입니다. 우리 생활에 있어서 가장 기본적인 에너지이기에 시공과 작동에 있어서 전문성이 요구됩니다. 이에 따라 전기과는 전기를 생산하기 위해 화석연료, 수력, 원자력, 지열, 풍력, 태양열, 조력 등의 에너지원에 대한 지식과 기술을 습득하여 생산, 설계, 개발 및 감리 등의 전문 전기 기술인 양성을 교육목표로 합니다."
전기전자공학과,"전기와 전자기기가 없는 세상을 상상해 본적이 있나요? 전기전자공학은 전기의 생산, 수송 및 변환, 반도체 소자와 각종 컴퓨터 언어와 이를 이용한 디지털 시스템 설계, 전기전자 하드웨어 설계, 시스템의 자동화, 디지털통신 기술 및 영상 신호처리 등 전기와 전자의 기본 원리부터 응용에 이르기까지 기술적인 방법 등을 다룹니다.
전기전자공학과는 여러 공학 분야의 기본이 되는 학문으로 유능한 전기전자공학 기술자 양성을 교육목표로 두고 있습니다."
전기전자과,"전기전자과는 전기에너지의 생산 및 활용에 관련된 전통적인 산업인 전력산업에서부터 정보통신산업, 반도체 및 전력전자산업, 제어 및 자동화 부문의 산업에 대한 기초 이론과 응용기술을 습득합니다. 이에 따라 전기전자과는 전기시스템 분야에서 컴퓨터를 응용한 각종 자동화 설비에 대한 이론적 지식과 실무 능력을 겸비한 유능한 전문기술인 양성을 교육목표로 합니다."
전자공학과,"자동차, 스마트폰, 텔레비전, 컴퓨터와 같은 제품이 하나도 없다면 어떤 생활이 될까요? 전자공학은 인간의 삶을 편리하게 해 주는 제품이나 장치를 만들기 위한 지식과 이론에 대해서 공부합니다. 전자공학은 전자, 전기, 통신, 반도체, 컴퓨터, 자동차, 항공, 생명공학, 화학, 조선 등 공학의 전 분야에 걸쳐 응용되고 있습니다. "
전자과,"전자과는 현대 첨단 산업에 핵심적인 역할을 담당하는 전자산업 분야에 연구, 설계, 계획, 제작 및 운영 등의 실무 전 분야에 적용되는 학과입니다. 전자과는 정보통신기술 및 인터넷 환경의 고도 지식정보화 사회에 능동적으로 대응하여 디지털 전자기술 분야의 고부가가치 창출에 기여할 수 있는 이론과 실무 능력을 겸비한 유능하고 창조적인 전자 전문 기술인 양성을 교육목표로 합니다."
농수산과,"농수산은 농업 분야와 수산 분야로 구분됩니다. 농업 분야는 농촌의 생산자원 및 여가를 즐길 수 있는 농원을 조성ㆍ관리하며 생산물의 양과 질을 향상시키고 이를 관리하는 전문 경영인을 양성하는 분야입니다. 수산 분야는 수산자원의 생태 및 양식에 관한 기술을 이론과 실습을 바탕으로 교수하여 미래의 해양식량을 공급할 전문인력을 양성하는 분야입니다. 농수산과는 농수산 식품산업의 경영ㆍ유통, 지역균형발전 등과 같은 현대사회의 농업ㆍ수산 식품산업, 농어촌 사회가 가지고 있는 여러 가지 문제를 해결하는 데 필요한 다양한 학습방법과 접근방법을 학습함으로써 21세기 농수산 식품산업에 필요한 전문 경영인 양성을 목표로 합니다."
농업경제학과,"농업경제학은 농업과 관련하여 발생하는 여러 경제현상을 탐구하여 농업 자체의 발전과 제조업 및 서비스업 등 여타 부분과의 연결성을 고찰하는 학문입니다. 따라서 농업경제학과는 농업 및 농촌, 그리고 연관 산업의 여러 문제들을 경제적 측면에서 종합적으로 살펴보는 사회과학 계열의 학과라고 할 수 있습니다. 농업경제학과는 경제학의 여러 이론들을 농업 및 농촌사회 분야에 적용시켜 동 분야의 문제 해결에 필요한 전문 지식을 가르치고 학생들의 역량을 길러 앞으로 우리 농업, 농촌, 농민의 삶의 질 향상에 기여하고자 합니다. 이를 통해 국가 경제의 균형적인 발전에 이바지할 수 있는 인재를 양성하는 데 교육목표를 두고 있습니다."
농업교육과,"농업교육과는 산업 측면에서의 농업의 성질이 변화함에 따라 더욱 주목 받고 있습니다. 최근 학교교육과 사회교육의 유기적인 관계가 강조되고, 농업이 생산 중심의 1차 산업에서 전 산업을 아우르는 종합산업으로 바뀌었기 때문입니다. 농업교육과에서는 농촌지역의 개발에 신념을 가지고 봉사할 농업과 교사를 양성합니다. 또한 첨단 농업 및 생명과학 관련 산업현장에서 창조적으로 활동할 전문가 및 지도자를 키우는 것에 교육목표를 두고 있습니다."
축산과,"글로벌화로 농축산물 수출입의 개방 시대가 되면서 그 어느 때보다 축산업의 역할이 중요해졌습니다. 축산과에서는 동물자원의 증식과 생산, 생산물을 이용하여 축산업을 발전시키기 위해 필요한 다양한 지식과 방법에 대해서 공부합니다. 축산과는 동물들에 관한 생물학적 연구와 경영관리에 필요한 지식을 바탕으로 우리나라의 축산업을 발전시킬 전문가를 양성합니다."
광고디자인과,우리는 어떤 광고를 보면 그 이미지나 영상 혹은 소리가 계속 떠오를 때가 있습니다. 이처럼 광고디자인은 보이는 아름다움도 중요하지만 사람들에게 기억될 수 있도록 디자인되어야 합니다. 계속해서 변화하는 사회에 맞는 과학적이고 합리적인 설득기술을 필요로 하는 것입니다. 광고디자인과는 정보문화의 선두주자로서 전문지식을 갖춘 유능한 광고 인력의 배출을 목표로 과학적인 광고이론 교육과 인쇄매체 및 방송매체의 실무제작 교육을 통하여 창의적인 광고를 제작할 수 있는 광고 디자이너로서의 자질과 능력을 갖춘 전문인의 양성을 목표로 합니다.
산업디자인과,"디자인은 경쟁력입니다. 기능성이 우수한 디자인은 물론, 참신하고 아름다운 디자인도 중요합니다. 산업디자인과는 생활에 필요한 다양한 산업제품들을 기능적이고 예술적으로 디자인하고 생산 시스템을 발전시키기 위한 분야입니다. 정보화시대에서 요구하는 산업 디자인의 요소들을 집중적으로 교육함으로써 현대 산업화 사회는 물론 미래 사회에 대응할 수 있는 창조적이고, 실무적인 전문 산업디자이너를 양성하는 것에 교육 목표를 두고 있습니다. "
간호학과,나이팅게일 선서에 대해 들어본 적 있나요? 간호사의 역할과 마음가짐에 대한 선서입니다. 간호학과에서는 실제 필요한 간호 지식을 가르쳐 환자를 잘 돌볼 수 있는 간호사를 키우고자 합니다. 간호학과에서는 사람들의 건강을 증진시키고 질병에서 오는 고통을 줄여 더 행복한 삶을 살 수 있도록 돕는 방법을 배웁니다.
경제학과,"왜 우리는 갖고 싶은 것을 다 가질 수 없고, 그중 일부를 ‘선택’해야만 하는 걸까요? 우리의 욕망은 끝이 없지만, 욕망을 모두 충족시킬 만한 돈이나 자원은 부족하기 때문입니다. 경제학과는 이와 같이 ‘한정된 자원을 이용한 최선의 선택’에 대한 문제를 다룹니다. 경제학과에서 공부한 여러 기초 이론 및 사회경제, 국가경제 관련 이론을 바탕으로 졸업 후에는 기업, 국가기관 등에 진출합니다."
고고학과,"과거 선조들이 남긴 유적이나 유물을 통해 과거의 문화와 역사를 밝히는 학문으로 문헌기록이 부족한 역사시대를 연구하는 유일한 학문이며 그 역할이 점점 커지고 있는 추세입니다. 우리의 역사와 문화를 연구하여 한국인의 정체성을 확립하고 문화재 보존과 복원에 기여하며 인류사회가 지나왔던 사회, 경제, 문화 등에 대한 학습을 통하여 오늘날 우리사회의 정체성과 위상을 이해하게 하는 학과입니다."
금속공학과,"영화 ‘아이언 맨’에서 주인공 토니스타크는 강철로 제작된 아이언맨 슈트를 입고 적들의 무차별한 공격에도 쉽게 상처를 입지 않습니다. ‘아이언 맨’의 겉옷은 어떤 재료로 만들었을지 궁금하지 않나요? 금속공학과는 금속재료의 성질에 대한 이해, 금속의 사용 방법, 금속 신소재를 이용한 개발 등에 대해서 배우는 곳입니다. 금속공학과는 금속 재료를 개발하고, 여러 산업에서 사용되는 금속과 재료의 문제점을 개선하고 보완 시킬수 있는 전문가를 양성하기 위한 학과입니다. "
기계공학과,"사람을 대신하여 반복적이고 정교함이 필요한 일들을 기계가 하는 시대가 되었습니다. 기계공학과에서는 기계에 관한 지식과 실습을 통해서 일상생활에서 필요한 기계와, 기계를 이용한 다양한 설비나 장치를 개발하는 방법에 대해서 배웁니다."
도시계획학과,"도시계획학은 땅과 그 위에서 일어나는 삶의 관계를 탐구하는 학문입니다. 따라서 도시계획학의 목적은 땅과 인간, 땅을 매개로 하는 인간과 인간 간의 관계를 적절히 정립하고 계획하고 관리함으로써 불특정 다수의 복리를 증진시키는 데 있습니다. 또한 도시계획학은 땅과 그 부속물을 다루기 위한 공학적 기술과 인간관계를 다루는 사회과학적 지식을 동시에 요구하는 종합 과학적 학문이기도 합니다. 도시계획학과는 국토공간과 도시 및 지역에서 나타나는 각종 문제점을 찾아보고 이를 통해 적절한 대책수립과 계획입안을 수행할 수 있는 전문 인력 양성에 교육목표를 두고 있습니다."
도시공학과,"30년후 미래 도시가 어떻게 변할지 상상해 본 적 있나요? 미래 도시는 사물인터넷과 사이버 물리시스템, 빅데이터, 5G인터넷 등 최신IT 기술을 기반으로한 스마트 도시,와 지하도시, 해저도시, 해상도시, 우주도시 등 다양한 형태와 모습으로 변해갈 것입니다. 도시공학과는 사람들의 삶의 질을 높이고 쾌적한 생활 환경을 만들기 위해 도시가 가지고 있는 여러 가지 문제들을 해결하기 위한 방법에 대해서 배우게 됩니다. 도시공학을 통해 복잡한 도시 문제를 해결하고, 미래 도시를 계획?설계?건설하고 관리하는 데 필요한 역량과 지식을 갖춘 도시 전문가를 양성하고 있습니다."
문화인류학과,"인간과 문화에 대해 공부하는 학문으로 의ㆍ식ㆍ주와 같은 인간의 기본적 문화요소부터 사회, 종교 등 인간집단의 사회 및 문화를 조사하고 비교ㆍ연구함으로써 인류와 사회, 문화에 대해 종합적으로 심도있게 공부함으로써 인간과 사회에 대한 본질적인 이해에 도달하고자 합니다. 21세기 국가적으로 문화와 역사에 대한 콘텐츠가 중요시되고 있으며, 현재 인간사회가 당면하고 있는 수많은 문제들을 지혜롭게 헤쳐 나갈 방안을 모색할 수 있는 인류학자를 양성하는 데 교육목표를 두고 있습니다."
문화재과,"
문화재란 우리의 선조들이 남긴 문화유산으로 보존ㆍ전승할 만한 가치가 있는 것을 말합니다. 유형의 문화재는 본래의 장소, 혹은 완비된 시설에 원형 그대로 그 가치를 유지ㆍ보존해야 합니다. 그런데 국가와 사회의 발전에 따른 산업화ㆍ도시화의 진전에 의해 문화재의 발굴이 불가피하게 되었고, 그 수요도 증가 추세에 있습니다. 이에 문화재과는 문화유산의 가치를 이해시키고, 문화재의 조사 발굴, 복원, 보존 방법에 대한 이론 강의 및 실습을 통해 문화재 관리전문가 양성을 교육 목표로 두고 있습니다. 
"
반도체학과,"우리가 평소 흔히 볼수 있는 컴퓨터, 스마트폰, 자동차, 각종 생활 전자제품이 작동할 수 있는 이유는 바로 반도체가 있기 때문입니다.  반도체학과는 여러 제품에서 핵심적 역할을 하고 있는 반도체를 개발하고 기능과 성능을 개선하기 위해 필요한 관련 지식을 배우는 학과입니다. 반도체의 작동원리, 반도체 설계,, 제조에 필요한 공정이나 과정 새로운 장비와 설비, 최신 기술에 대해서도 배우게 됩니다. "
법학과,"법학과는 법에 대한 이해와 지식을 이론적ㆍ실제적으로 습득하도록 함으로써 올바른 법생활을 영위하고 국가와 사회에 기여할 수 있는 건전한 민주시민을 양성하기 위한 학과입니다. ‘사회가 있는 곳에 법이 있다.’ 라는 말이 있습니다. 이처럼 법은 사회의 질서를 유지시켜 주는 가장 중요한 규범입니다. 법학과는 법률에 대한 전문적인 연구와 교육을 제공합니다. 
법학과는 사회 각 분야의 정의와 민주주의를 실현하기 위해 법률에 대한 전문적인 지식과 자질을 갖춘 유능한 법률 전문가를 양성하는 곳입니다."
부동산과,"부동산과는 부동산, 금융, 증권업에 관한 이론과 실무를 통해 정보화 사회와 지식산업 사회에의 적응을 도와주는 부동산 전문가를 양성하는 것에 교육 목표를 두고 있습니다. 부동산과에서는 부동산과 인간 간의 왜곡된 인식의 전환을 도모하여 보다 나은 부동산환경의 인간생활을 위하여 조사 연구를 진행하고 있습니다."
부동산학과,"부동산 시장의 개방, 부동산의 정보화, 실물시장과 자본시장의 통합화에 따라 부동산에 대한 일반의 부정적 시각은 크게 완화되었을 뿐만 아니라 부동산이 이제 규제의 대상이 아니라 국부의 원천이며 건전한 투자자산이라는 인식이 확산되고 있습니다. 과학적이고 체계적인 분석에 기초한 부동산 개발 기법의 대두, 실물시장과 자본시장의 결합에 따른 다양한 부동산 금융기법의 도입 등 부동산 시장의 선진화가 지속적으로 이루어지고 있습니다. 대외적으로는 세계경제의 국제화, 개방화 추세에 따라 부동산시장은 이제 국내시장만이 아닌 세계시장으로 그 범위를 넓혀 가고 있으며, 부동산 전문가의 활동 영역이 세계적으로 넓어지고 있고, 보다 광범위한 전문 지식을 요구하고 있습니다. 부동산학과는 최근의 부동산 시장의 변화에 발맞추어 부동산 경제, 경영, 개발, 법, 기술 등 다양한 분야를 종합적으로 연구ㆍ교육함으로써 전문 지식을 갖춘 전문가들을 배출하는 데 교육 목표를 두고 있습니다."
사학과,"‘역사를 잊은 민족에게 미래는 없다.’ 라는 명언이 있습니다. 이 명언에서 알 수 있듯이 역사가 중요한 이유는 과거, 현재, 미래는 단절된 것이 아니라 연속적이며, 과거는 단순히 지나가 버린 것이 아니라 살아 있고 의미가 있기 때문입니다. 역사학과는 이처럼 중요한 역사와 그 의미에 대해 배우며, 과거와 현재를 성찰하고 미래 사회를 주도하는 인재를 키웁니다."
산업공학과,"체계적인 시스템과 다양한 학문, 그리고 기술의 융합 시대입니다. 빠른 기술 변화 시대에는 융합과 체계적 시스템으로 효율성을 높이는 것이 핵심입니다. 산업공학과는 현재보다 나은 일의 수행과 효율적인 시스템 운영 방법을 배우는 곳입니다. 이 학과에서는 제품 생산과 전달의 전 과정에서 과학적이고 합리적으로 산업 시스템을 설계하고 운영하는 일을 담당하는 기술 경영 인재를 양성합니다."
세라믹공학과,"세라믹 공학은 산화물, 탄화물, 질화물과 같은 비금속 무기질 재료의 개발과 응용 방법을 공부하는 분야입니다. 물리, 화학, 전기, 전자 공학과 관련이 깊은 공학 분야입니다. 세라믹공학과는 다양한 재료 공학 실험과 연구, 체험 교육을 통해 세라믹 첨단 소재 개발을 위한 창의적 사고와 능력을 가진 전문 인력을 양성하는 데 교육 목표를 두고 있습니다."
신소재공학과,"우리 눈앞에 보이는 모든 것은 재료로 이루어져 있습니다. 스마트폰을 만들기 위한 반도체, 항공기의 특수합금재료, 탄소를 활용한 복합 재료, 태양열 발전에 필요한 태양전지 재료가 꼭 필요합니다. 신소재공학과는 다양한 재료의 기본적인 이해 및 재료 구조와 특질을 이해하고 새로운 소재의 개발, 가공, 기능 등에 대한 이론과 연구방법에 대해서 배우는 학과입니다. "
재료공학과,"인간의 역사를 말할 때 석기 시대, 청동기 시대, 철기 시대라고 한번 씩은 들어본 기억이 있지 않나요? 대표적인 시대의 이름 앞에 재료 이름이 붙여질 정도로 재료는 사람들의 생활에 중요한 역할을 하고 있습니다. 재료공학과는 재료, 금속, 바이오 등 각종 재료의 기능과 특징에 대해서 공부하고, 재료의 개발, 가공, 제조하는 기술에 대한 이론과 실습을 통해 배우는 학과입니다. "
지역개발학과,"우리나라 인구의 약 50%가 수도권에 살고 있습니다. 지방을 떠나는 인구가 늘면서 지역 격차 문제 해결을 위한 지역 개발의 중요성이 커지고 있습니다. 지역개발학과는 여러 지역의 문제를 분석하여 해결할 수 있는 이론과 방법을 연구합니다. 또, 각지역의 토지, 주택, 교통, 환경에 대해 분석하여 지역사회 발전을 위한 인력을 양성합니다."
회계학과,"회계는 기업을 포함한 경제 주체들이 합리적인 의사결정을 할 수 있도록 유용한 정보를 제공하는 정보시스템입니다. 모든 경제 주체들은 제한된 자원에 대한 효율적 배분을 통해 최대의 효익을 얻고자 합니다. 회계정보는 자원배분이 효율적으로 이루어지도록 지원하며, 회계학은 이러한 회계정보를 과학적이고 체계적인 방법으로 산출, 해석하도록 하는 학문분야입니다. 회계학과는 미래의 경영 및 회계 변화도 예측할 수 있는 자질을 함양함으로써 유능한 회계 실무자를 양성하는 것에 교육목표를 두고 있습니다."
방송연예과,"방송연예과는 연극, 영화, 방송매체에서 필요로 하는 연기자와 예능인을 양성하는 것을 목표로 하고 있습니다.  주로 연기교육을 중심으로 교육하며 실기위주의 교육을 통해 연예계에서 필요로 하는 다재다능한 엔터테이너를 육성하는 데 중점을 두어 교육합니다. 연기 외에도 보컬, 댄스, mc분야의 엔터테이너와 방송, 영화, 연극의 연출자 및 제작진을 양성하기도 합니다. "
연극영화과,"
다양한 연기 수업을 배우며, 영화의 경우 시나리오, 촬영, 연출, 편집 등 영화를 제작하는 데 있어서 전반적인 업무의 실기를 습득할 수 있습니다. 연극영화과는 연기 및 연출, 무대 기술, 극장 등 연극 관련 전문 인력을 양성하고 영화 매체에 관련된 전문적인 연출과 스텝 및 연기자를 포함한 영상 제작 관련 인재 양성에 교육목표를 두고 있습니다. 인간정신에 대한 탐구를 바탕으로 능동적이고 창의적인 연극영화 관련 전문인을 양성하고자 합니다. "
연극영화학과,"최근에는 대중 영상 매체의 발달로 인해 연극과 영화는 대중이 가장 즐기는 것으로 이미 생활 속의 중요한 예술로 자리 잡고 있습니다.
연극영화학과는 연극ㆍ영화의 이론을 연구하고 실기 능력을 키우는 학문입니다. 또, 연극ㆍ영화학과에서는 교양과 지성, 실무 능력을 두루 갖춘 공연ㆍ영상 예술 전문가를 양성합니다."
건축공학과,"우리가 매일 보는 수많은 건축물은 어떻게 만들어진 것일까요? 건축공학은 인간이 사용하는 다양한 용도의 건축물과 공간을 만들기 위해 필요한 공학적 분야, 사회적 분야 등을 종합하여 배우는 학과입니다. 건축공학과는 공학적 지식(건축구조ㆍ시공ㆍ환경ㆍ설비ㆍ재료)과 건축 공간의 계획을 위한 기본 지식(건축계획ㆍ설계)을 습득하게 됩니다. 여러 형태의 건축물을 만들기 위하여 필요한 공간구획과 설계, 건축재료 선택,, 실제 시공에 이르는 복잡 다양한 업무를 포괄적으로 수행할 능력이 있는 건축 기술자와 전문가 양성에 목표를 두는 학과입니다.."
금형설계과,"금형설계과는 우리 일상생활에서 사용하고 있는 물건들, 스마트폰, TV, 자동차, 냉장고 등의 금형이 사용되고 있는 제품의 질적 향상과 가치를 높이기 위해 발전되고 있는 분야입니다. 금형설계과는 3D설계(제품설계, 금형설계, 공정설계, 역설계), CAM프로그래밍, CAE해석, 공작기계조작 등의 전문적인 지식과 기술을 배우며 금형산업을 발전시키기 위한 금형설계 전문가를 양성하는 것에 교육목표를 두고 있습니다."
산업설비자동화과,"인간의 생활을 보다 풍요롭고 편리하게하기 위하여 우리는 다양한 것들을 생산하죠? 그러기 위해서는 그것을 제작할 수 있는 산업설비 시설이 필요하고, 또 작동하거나 실행할 수 있는 기술이 필요합니다. 산업설비자동화과는 설비의 기본이 되는 용접공학, 배관공학, 전기전자공학과 자동화시스템공학을 기본으로 하여 철강제 구조설비, 용수처리설비 및 담수화설비, 냉동 및 냉장설비, 공기조화설비, 저장탱크 및 저장기지 설비, 송유설비, 가스설비 등의 설계, 시공을 다루는 학문입니다."
건축과,"인간은 각종 위협으로부터 안전하게 지낼 수 있도록 아주 옛날부터 집을 지으며 살아왔지요? 신석기 시대의 움집부터 조선시대 한옥 그리고 현대에 와서는 건축 기술이 발달하면서 정말 다양한 건축물들이 생겼습니다. 이러한 건축은 인간의 주거를 위해, 부와 권위를 과시하기 위해, 혹은 예술 작품으로써 지어지기도 합니다. 건축과는 최초의 상태와 변형의 방법이나 과정을 규정하고, 구조, 시공, 환경 분야를 통해 건축의 종합적 발전을 목표로 합니다. 또한 건축적 사고와 예술적 감성을 종합적으로 학습, 연마함으로써 국가발전에 기여할 수 있는 건축 분야의 전문가 양성에 교육목표를 두고 있습니다."
건축학과,"휴식과 편안함을 주는 집과 일을 하는 직장, 공부를 할 수 있는 학교와 학원, 식사와 쇼핑을 할 수 있는 상점 등에서 우리는 하루도 빠짐없이 수많은 건축물을 이용하고 있습니다. 건축학과에서는 우리가 외부 환경으로부터 보호받고, 사용 목적과 용도에 따라 건축물을 편리하고 쉽고 편안하게 이용할 수 있도록 건축물을 설계하고 만드는 방법에 대해 배웁니다. 건축학과는 역사, 문화, 예술, 인문학적 지식과 건축 관련 전문적 지식까지 종합적인 이론과 실습을 바탕으로 건축물을 만들 수 있는 인재를 양성하는 학과입니다."
토목공학과,"도로, 항만, 공항, 터널, 철도, 댐, 상하수도 시설 등 사회 기반이 되는 구조물을 만들기 위한 토목 계획과 설계, 토목 측량과 구조 해석, 토목 시공, 토목 시설물의 유지 관리와 운용 방법 등을 배우는 학문입니다. 토목공학과는 자연환경을 보존하면서 사람들이 편리하고 쾌적하게 살 수 있는 공간과 기반을 만들 수 있는 인재를 양성하는 것을 목표로 합니다."
토목과,"우리 주변에 빌딩이나 아파트와 같은 건축물들과 함께 꼭 필요한 구조물들은 무엇이 있을까요? 도로, 철도, 댐, 터널 등을 예로 들 수 있을 텐데요, 이러한 구조물들이 없으면 불편한 생활은 물론 자연재해로부터 안전하지 않을 수 있습니다. 토목과는 국토의 자연조건을 이용하여 이를 개발하고 보전하며, 인류의 복지 향상을 위한 댐, 발전소(수력, 화력, 원자력), 교량, 도로, 항만, 철도(일반철도, 고속철도, 전철), 상하수도, 지하철, 터널, 비행장, 대규모 공업단지, 환경시설 등 모든 건설 구조물을 계획ㆍ설계, 시공하고, 관리ㆍ유지할 수 있도록 기술을 습득하여 전문 인력을 배양합니다."
